model,accuracy,precision,recall,f1_score,roc_auc_score,type
SVC,0.9033888888888889,0.99003367003367,0.8153283052351376,0.8942278450215925,0.9035457198482011,train
SVC,0.8155,0.8041543026706232,0.8262195121951219,0.8150375939849623,0.8156688112156713,test
XGBClassifier,0.9163888888888889,0.9898265292813356,0.8417258207630879,0.9097884073607864,0.9165218596246428,train
XGBClassifier,0.7175,0.641077441077441,0.967479674796748,0.7711624139327663,0.7214366877920748,test
NaiveBayes,0.82,0.934155141310884,0.6892191659272404,0.7932090885882053,0.8202329133287137,train
NaiveBayes,0.784,0.822429906542056,0.7154471544715447,0.7652173913043477,0.7829204276294731,test
MLP,0.9148333333333334,0.9939273927392739,0.8350709849157054,0.9076005062985957,0.9149753856012187,train
MLP,0.708,0.6317523056653491,0.9745934959349594,0.7665867306155076,0.7121983227706292,test
XGBClassifier,0.9163888888888889,0.9898265292813356,0.8417258207630879,0.9097884073607864,0.9165218596246428,train
XGBClassifier,0.7175,0.641077441077441,0.967479674796748,0.7711624139327663,0.7214366877920748,test
LogisticRegression,0.8978888888888888,0.976120986999204,0.8161047027506655,0.8889694333695783,0.89803454193633,train
LogisticRegression,0.791,0.723186119873817,0.931910569105691,0.8143872113676731,0.7932190640804044,test
SVC,0.8598333333333333,0.9673240247588887,0.7453416149068323,0.8419470024431497,0.8600372366608962,train
SVC,0.846,0.8806306306306306,0.7947154471544715,0.8354700854700854,0.8451923692465271,test
NaiveBayes,0.8345555555555556,0.952352412346419,0.7049689440993789,0.8101975780752073,0.8347863420407847,train
NaiveBayes,0.802,0.8387096774193549,0.7398373983739838,0.7861771058315336,0.8010210613917162,test
MLP,0.8835,0.97553264604811,0.7871561668145519,0.8712786200969861,0.88367158296204,train
MLP,0.8505,0.8702702702702703,0.818089430894309,0.8433734939759037,0.8499895973369183,test
XGBClassifier,0.9001111111111111,0.9762470308788599,0.8205412599822538,0.8916475834639026,0.9002528205521243,train
XGBClassifier,0.855,0.8715203426124197,0.8272357723577236,0.8488008342022941,0.8545627680686255,test
LogisticRegression,0.7783888888888889,0.7417989417989418,0.8552573203194321,0.7944979650713514,0.7782519905248098,train
LogisticRegression,0.7945,0.753315649867374,0.8658536585365854,0.8056737588652482,0.7956236796619935,test
XGBClassifier,0.9001111111111111,0.9762470308788599,0.8205412599822538,0.8916475834639026,0.9002528205521243,train
XGBClassifier,0.855,0.8715203426124197,0.8272357723577236,0.8488008342022941,0.8545627680686255,test
SVC,0.8977777777777778,0.988562091503268,0.8052351375332741,0.8875305623471882,0.8979425910284359,train
SVC,0.816,0.8073852295409182,0.8221544715447154,0.8147029204431017,0.8160969208117279,test
XGBClassifier,0.9127222222222222,0.9873020028799581,0.8365128660159716,0.9056739717802461,0.9128579468103011,train
XGBClassifier,0.731,0.6533700137551581,0.9654471544715447,0.7793273174733388,0.7346920811727802,test
NaiveBayes,0.7927777777777778,1.0,0.5862910381543922,0.7391973150608306,0.7931455190771961,train
NaiveBayes,0.7975,0.8814229249011858,0.6798780487804879,0.7676419965576593,0.7956476858075668,test
